Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.37     0.00   711212     0.00     0.00  std::vector<bool, std::allocator<bool> >::operator[](unsigned long)
  0.00      0.37     0.00   711179     0.00     0.00  Rma_Datatype<int>::accumulate(int, int*, int, int, ompi_op_t*, locktype)
  0.00      0.37     0.00   709729     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.37     0.00   684737     0.00     0.00  __gnu_cxx::new_allocator<int>::~new_allocator()
  0.00      0.37     0.00   684737     0.00     0.00  std::allocator<int>::~allocator()
  0.00      0.37     0.00   678115     0.00     0.00  std::_Vector_base<int*, std::allocator<int*> >::_M_get_Tp_allocator()
  0.00      0.37     0.00   624794     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long)
  0.00      0.37     0.00   612557     0.00     0.00  std::allocator_traits<std::allocator<int> >::max_size(std::allocator<int> const&)
  0.00      0.37     0.00   612557     0.00     0.00  std::vector<int, std::allocator<int> >::_S_max_size(std::allocator<int> const&)
  0.00      0.37     0.00   606768     0.00     0.00  std::__detail::_Mod_range_hashing::operator()(unsigned long, unsigned long) const
  0.00      0.37     0.00   606768     0.00     0.00  std::__detail::_Hashtable_ebo_helper<2, std::__detail::_Mod_range_hashing, true>::_S_cget(std::__detail::_Hashtable_ebo_helper<2, std::__detail::_Mod_range_hashing, true> const&)
  0.00      0.37     0.00   606240     0.00     0.00  std::hash<int>::operator()(int) const
  0.00      0.37     0.00   606240     0.00     0.00  std::__detail::_Hashtable_ebo_helper<1, std::hash<int>, true>::_S_cget(std::__detail::_Hashtable_ebo_helper<1, std::hash<int>, true> const&)
  0.00      0.37     0.00   591943     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  0.00      0.37     0.00   580042     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&)
  0.00      0.37     0.00   566640     0.00     0.00  __gnu_cxx::new_allocator<int*>::~new_allocator()
  0.00      0.37     0.00   566640     0.00     0.00  std::allocator<int*>::~allocator()
  0.00      0.37     0.00   556310     0.00     0.00  bool __gnu_cxx::operator!=<int**, std::vector<int*, std::allocator<int*> > >(__gnu_cxx::__normal_iterator<int**, std::vector<int*, std::allocator<int*> > > const&, __gnu_cxx::__normal_iterator<int**, std::vector<int*, std::allocator<int*> > > const&)
  0.00      0.37     0.00   537355     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator(__gnu_cxx::new_allocator<int> const&)
  0.00      0.37     0.00   537355     0.00     0.00  std::allocator<int>::allocator(std::allocator<int> const&)
  0.00      0.37     0.00   502068     0.00     0.00  std::vector<int, std::allocator<int> >::max_size() const
  0.00      0.37     0.00   501319     0.00     0.00  std::vector<int, std::allocator<int> >::_S_relocate(int*, int*, int*, std::allocator<int>&)
  0.00      0.37     0.00   501319     0.00     0.00  std::vector<int, std::allocator<int> >::_S_do_relocate(int*, int*, int*, std::allocator<int>&, std::integral_constant<bool, true>)
  0.00      0.37     0.00   501319     0.00     0.00  std::enable_if<std::__is_bitwise_relocatable<int, void>::value, int*>::type std::__relocate_a_1<int, int>(int*, int*, int*, std::allocator<int>&)
  0.00      0.37     0.00   470106     0.00     0.00  int** std::__niter_base<int**>(int**)
  0.00      0.37     0.00   464484     0.00     0.00  __gnu_cxx::__aligned_buffer<int>::_M_ptr()
  0.00      0.37     0.00   464484     0.00     0.00  __gnu_cxx::__aligned_buffer<int>::_M_addr()
  0.00      0.37     0.00   464484     0.00     0.00  std::__detail::_Hash_node_value_base<int>::_M_valptr()
  0.00      0.37     0.00   462785     0.00     0.00  std::__detail::_Hash_code_base<int, int, std::__detail::_Identity, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_h2() const
  0.00      0.37     0.00   462775     0.00     0.00  std::__detail::_Hash_code_base<int, int, std::__detail::_Identity, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_h1() const
  0.00      0.37     0.00   451274     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned long)
  0.00      0.37     0.00   450674     0.00     0.00  __gnu_cxx::new_allocator<int>::deallocate(int*, unsigned long)
  0.00      0.37     0.00   450674     0.00     0.00  __gnu_cxx::new_allocator<int>::allocate(unsigned long, void const*)
  0.00      0.37     0.00   450674     0.00     0.00  std::allocator_traits<std::allocator<int> >::deallocate(std::allocator<int>&, int*, unsigned long)
  0.00      0.37     0.00   450674     0.00     0.00  std::allocator_traits<std::allocator<int> >::allocate(std::allocator<int>&, unsigned long)
  0.00      0.37     0.00   424631     0.00     0.00  std::_Vector_base<int*, std::allocator<int*> >::_M_deallocate(int**, unsigned long)
  0.00      0.37     0.00   424631     0.00     0.00  std::vector<int*, std::allocator<int*> >::begin()
  0.00      0.37     0.00   395493     0.00     0.00  void std::_Destroy_aux<true>::__destroy<int**>(int**, int**)
  0.00      0.37     0.00   395493     0.00     0.00  void std::_Destroy<int**>(int**, int**)
  0.00      0.37     0.00   395493     0.00     0.00  void std::_Destroy<int**, int*>(int**, int**, std::allocator<int*>&)
  0.00      0.37     0.00   385349     0.00     0.00  std::vector<int, std::allocator<int> >&& std::forward<std::vector<int, std::allocator<int> > >(std::remove_reference<std::vector<int, std::allocator<int> > >::type&)
  0.00      0.37     0.00   377760     0.00     0.00  __gnu_cxx::new_allocator<int*>::new_allocator(__gnu_cxx::new_allocator<int*> const&)
  0.00      0.37     0.00   377760     0.00     0.00  __gnu_cxx::__normal_iterator<int* const*, std::vector<int*, std::allocator<int*> > >::__normal_iterator(int* const* const&)
  0.00      0.37     0.00   377760     0.00     0.00  __gnu_cxx::__normal_iterator<int* const*, std::vector<int*, std::allocator<int*> > >::base() const
  0.00      0.37     0.00   377760     0.00     0.00  std::allocator<int*>::allocator(std::allocator<int*> const&)
  0.00      0.37     0.00   377760     0.00     0.00  std::_Vector_base<int*, std::allocator<int*> >::_Vector_impl::~_Vector_impl()
  0.00      0.37     0.00   377760     0.00     0.00  std::_Vector_base<int*, std::allocator<int*> >::_Vector_impl_data::_Vector_impl_data()
  0.00      0.37     0.00   377760     0.00     0.00  std::_Vector_base<int*, std::allocator<int*> >::~_Vector_base()
  0.00      0.37     0.00   377760     0.00     0.00  std::vector<int*, std::allocator<int*> >::~vector()
  0.00      0.37     0.00   377760     0.00     0.00  __gnu_cxx::__normal_iterator<int* const*, std::vector<int*, std::allocator<int*> > > std::__miter_base<__gnu_cxx::__normal_iterator<int* const*, std::vector<int*, std::allocator<int*> > > >(__gnu_cxx::__normal_iterator<int* const*, std::vector<int*, std::allocator<int*> > >)
  0.00      0.37     0.00   377760     0.00     0.00  int* const* std::__niter_base<int* const*, std::vector<int*, std::allocator<int*> > >(__gnu_cxx::__normal_iterator<int* const*, std::vector<int*, std::allocator<int*> > >)
  0.00      0.37     0.00   376364     0.00     0.00  std::vector<int*, std::allocator<int*> >::size() const
  0.00      0.37     0.00   374823     0.00     0.00  std::__detail::_Hash_code_base<int, int, std::__detail::_Identity, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_extract() const
  0.00      0.37     0.00   374680     0.00     0.00  std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<int, false> > >::_M_node_allocator()
  0.00      0.37     0.00   374680     0.00     0.00  std::__detail::_Hashtable_ebo_helper<0, std::allocator<std::__detail::_Hash_node<int, false> >, true>::_S_get(std::__detail::_Hashtable_ebo_helper<0, std::allocator<std::__detail::_Hash_node<int, false> >, true>&)
  0.00      0.37     0.00   374231     0.00     0.00  void std::_Destroy_aux<true>::__destroy<int*>(int*, int*)
  0.00      0.37     0.00   374231     0.00     0.00  void std::_Destroy<int*>(int*, int*)
  0.00      0.37     0.00   374231     0.00     0.00  void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&)
  0.00      0.37     0.00   373884     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl()
  0.00      0.37     0.00   373884     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::~_Vector_base()
  0.00      0.37     0.00   369110     0.00     0.00  int const& std::__detail::_Identity::operator()<int const&>(int const&) const
  0.00      0.37     0.00   366840     0.00     0.00  boost::detail::atomic_decrement(unsigned int*)
  0.00      0.37     0.00   366774     0.00     0.00  boost::shared_ptr<ompi_communicator_t*>::~shared_ptr()
  0.00      0.37     0.00   366774     0.00     0.00  boost::detail::shared_count::~shared_count()
  0.00      0.37     0.00   366774     0.00     0.00  boost::detail::sp_counted_base::release()
  0.00      0.37     0.00   366740     0.00     0.00  boost::mpi::communicator::~communicator()
  0.00      0.37     0.00   366708     0.00     0.00  boost::shared_ptr<ompi_communicator_t*>::shared_ptr(boost::shared_ptr<ompi_communicator_t*> const&)
  0.00      0.37     0.00   366708     0.00     0.00  boost::detail::shared_count::shared_count(boost::detail::shared_count const&)
  0.00      0.37     0.00   366708     0.00     0.00  boost::detail::sp_counted_base::add_ref_copy()
  0.00      0.37     0.00   366708     0.00     0.00  boost::detail::atomic_increment(unsigned int*)
  0.00      0.37     0.00   366674     0.00     0.00  boost::mpi::communicator::communicator(boost::mpi::communicator const&)
  0.00      0.37     0.00   365096     0.00     0.00  std::__detail::_Node_iterator<int, true, false>::_Node_iterator(std::__detail::_Hash_node<int, false>*)
  0.00      0.37     0.00   365096     0.00     0.00  std::__detail::_Node_iterator_base<int, false>::_Node_iterator_base(std::__detail::_Hash_node<int, false>*)
  0.00      0.37     0.00   355573     0.00     0.00  NodeProperty<int>::atomicAdd(int, int)
  0.00      0.37     0.00   314696     0.00     0.00  int*&& std::forward<int*>(std::remove_reference<int*>::type&)
